epoch,dice_metric,loss,mean_IOU_gpu,val_dice_metric,val_loss,val_mean_IOU_gpu
0,0.8135555,0.18388850655820635,0.7020452,0.852768063545227,0.13249430917203425,0.7559171915054321
1,0.862927,0.12141705511344804,0.7739188,0.8531028628349304,0.12978533357381822,0.7548702955245972
2,0.9065278,0.07295914491017659,0.8297167,0.8529106378555298,0.12781872786581516,0.7532604932785034
3,0.7900601,0.21298165246844292,0.66949195,0.8494504690170288,0.12654911428689958,0.744937002658844
4,0.85576445,0.1211529014011224,0.7553738,0.8444962501525879,0.12939011678099632,0.735278308391571
5,0.84822166,0.14442825193206468,0.75568295,0.8392510414123535,0.13572094738483428,0.7267225980758667
6,0.8681037,0.10291462639967601,0.7686546,0.8337308764457703,0.14371783956885337,0.7191523313522339
7,0.85827774,0.11148485913872719,0.7555232,0.8300779461860657,0.14957096949219703,0.7146686911582947
8,0.87115926,0.10474100377824572,0.77414536,0.8273569941520691,0.1546708032488823,0.7113807201385498
9,0.86722666,0.10501484076182048,0.767236,0.8251323699951172,0.15909254103899,0.7089716792106628
